"","title","author","subject","abstract","meta"
"39","Towards General Computer Control: A Multimodal Agent for Red Dead Redemption II as a Case Study","Weihao Tan, Ziluo Ding, Wentao Zhang, Boyu Li, Bohan Zhou, Junpeng Yue, Haochong Xia, Jiechuan Jiang, Longtao Zheng, Xinrun Xu, Yifei Bi, Pengjie Gu, Xinrun Wang, Börje F. Karlsson, Bo An, Zongqing Lu","Artificial Intelligence (cs.AI)","Despite the success in specific tasks and scenarios, existing foundation agents, empowered by large models (LMs) and advanced tools, still cannot generalize to different scenarios, mainly due to dramatic differences in the observations and actions across scenarios. In this work, we propose the General Computer Control (GCC) setting: building foundation agents that can master any computer task by taking only screen images (and possibly audio) of the computer as input, and producing keyboard and mouse operations as output, similar to human-computer interaction. The main challenges of achieving GCC are: 1) the multimodal observations for decision-making, 2) the requirements of accurate control of keyboard and mouse, 3) the need for long-term memory and reasoning, and 4) the abilities of efficient exploration and self-improvement. To target GCC, we introduce Cradle, an agent framework with six main modules, including: 1) information gathering to extract multi-modality information, 2) self-reflection to rethink past experiences, 3) task inference to choose the best next task, 4) skill curation for generating and updating relevant skills for given tasks, 5) action planning to generate specific operations for keyboard and mouse control, and 6) memory for storage and retrieval of past experiences and known skills. To demonstrate the capabilities of generalization and self-improvement of Cradle, we deploy it in the complex AAA game Red Dead Redemption II, serving as a preliminary attempt towards GCC with a challenging target. To our best knowledge, our work is the first to enable LMM-based agents to follow the main storyline and finish real missions in complex AAA games, with minimal reliance on prior knowledge or resources. The project website is at this https URL.","Tue, 5 Mar 2024 18:22:29 UTC (18,505 KB)[v2] Thu, 7 Mar 2024 14:41:56 UTC (18,505 KB)"
"40","Using Smartphones to Study Vaccination Decisions in the Wild","Nicolò Alessandro Girardini, Arkadiusz Stopczynski, Olga Baranov, Cornelia Betsch, Dirk Brockmann, Sune Lehmann, Robert Böhm","Physics and Society (physics.soc-ph)","One of the most important tools available to limit the spread and impact of infectious diseases is vaccination. It is therefore important to understand what factors determine people's vaccination decisions. To this end, previous behavioural research made use of, (i) controlled but often abstract or hypothetical studies (e.g., vignettes) or, (ii) realistic but typically less flexible studies that make it difficult to understand individual decision processes (e.g., clinical trials). Combining the best of these approaches, we propose integrating real-world Bluetooth contacts via smartphones in several rounds of a game scenario, as a novel methodology to study vaccination decisions and disease spread. In our 12-week proof-of-concept study conducted with $N$ = 494 students, we found that participants strongly responded to some of the information provided to them during or after each decision round, particularly those related to their individual health outcomes. In contrast, information related to others' decisions and outcomes (e.g., the number of vaccinated or infected individuals) appeared to be less important. We discuss the potential of this novel method and point to fruitful areas for future research.","Tue, 5 Mar 2024 17:27:05 UTC (435 KB)"
"41","Preserving Tangible and Intangible Cultural Heritage: the Cases of Volterra and Atari","Maciej Grzeszczuk, Kinga Skorupska, Paweł Grabarczyk, Władysław Fuchs, Paul F. Aubin, Mark E. Dietrick, Barbara Karpowicz, Rafał Masłyk, Pavlo Zinevych, Wiktor Stawski, Stanisław Knapiński, Wiesław Kopeć","Computers and Society (cs.CY)","At first glance, the ruins of the Roman Theatre in the Italian town of Volterra have little in common with cassette tapes containing Atari games. One is certainly considered an important historical landmark, while the consensus on the importance of the other is partial at best. Still, both are remnants of times vastly different from the present and are at risk of oblivion. Unearthed architectural structures are exposed to the elements just as the deteriorating signals stored on magnetic tapes. However, the rate of deterioration is much faster with the magnetic media, as their life expectancy is counted in decades, whereas the Roman Theater, which is already in ruin, measures its lifespan in centuries. Hence, both would benefit from some form of digital preservation and reconstruction. In this panel, we discuss how to sustainably preserve tangible and intangible cultural artifacts for future generations.","Tue, 5 Mar 2024 12:18:08 UTC (13,206 KB)"
"42","A Fully-discrete Semi-Lagrangian scheme for a price formation MFG model","Yuri Ashrafyan, Diogo Gomes","Numerical Analysis (math.NA)","Here, we examine a fully-discrete Semi-Lagrangian scheme for a mean-field game price formation model. We show that the discretization is monotone as a multivalued operator and prove the uniqueness of the discretized solution. Moreover, we show that the limit of the discretization converges to the weak solution of the continuous price formation mean-field game using monotonicity methods. This scheme performs substantially better than standard methods by giving reliable results within a few iterations, as several numerical simulations and comparisons at the end of the paper illustrate.","Tue, 5 Mar 2024 08:58:04 UTC (1,152 KB)"
"43","Ultrahigh Resolution X-ray Thomson Scattering Measurements of Electronic Structures","Thomas Gawne, Zhandos A. Moldabekov, Oliver S. Humphries, Karen Appel, Carsten Bähtz, Victorien Bouffetier, Erik Brambrink, Attila Cangi, Sebastian Göde, Zuzana Konôpková, Mikako Makita, Mikhail Mishchenko, Motoaki Nakatsutsumi, Kushal Ramakrishna, Lisa Randolph, Sebastian Schwalbe, Jan Vorberger, Lennart Wollenweber, Ulf Zastrau, Tobias Dornheim, Thomas R. Preston","Plasma Physics (physics.plasm-ph)","Using a novel ultrahigh resolution ($\Delta E \sim 0.1\,$eV) setup to measure electronic features in x-ray Thomson scattering (XRTS) experiments at the European XFEL in Germany, we have studied the collective plasmon excitation in aluminium at ambient conditions, which we can measure very accurately even at low momentum transfers. As a result, we can resolve previously reported discrepancies between ab initio time-dependent density functional theory simulations and experimental observations. The demonstrated capability for high-resolution XRTS measurements will be a game changer for the diagnosis of experiments with matter under extreme densities, temperatures, and pressures, and unlock the full potential of state-of-the-art x-ray free electron laser (XFEL) facilities to study planetary interior conditions, to understand inertial confinement fusion applications, and for material science and discovery.","Tue, 5 Mar 2024 08:46:43 UTC (833 KB)"
"44","State-Constrained Zero-Sum Differential Games with One-Sided Information","Mukesh Ghimire, Lei Zhang, Zhe Xu, Yi Ren","Computer Science and Game Theory (cs.GT)","We study zero-sum differential games with state constraints and one-sided information, where the informed player (Player 1) has a categorical payoff type unknown to the uninformed player (Player 2). The goal of Player 1 is to minimize his payoff without violating the constraints, while that of Player 2 is to either violate the state constraints, or otherwise, to maximize the payoff. One example of the game is a man-to-man matchup in football. Without state constraints, Cardaliaguet (2007) showed that the value of such a game exists and is convex to the common belief of players. Our theoretical contribution is an extension of this result to differential games with state constraints and the derivation of the primal and dual subdynamic principles necessary for computing the behavioral strategies. Compared with existing works on imperfect-information dynamic games that focus on scalability and generalization, our focus is instead on revealing the mechanism of belief manipulation behaviors resulted from information asymmetry and state constraints. We use a simplified football game to demonstrate the utility of this work, where we reveal player positions and belief states in which the attacker should (or should not) play specific random fake moves to take advantage of information asymmetry, and compute how the defender should respond.","Tue, 5 Mar 2024 07:51:38 UTC (554 KB)"
"45","When selection pays: structured public goods game with a generalized interaction mode","Ju Han, Xiaojie Chen, Attila Szolnoki","Physics and Society (physics.soc-ph)","The public goods game is a broadly used paradigm for studying the evolution of cooperation in structured populations. According to the basic assumption, the interaction graph determines the connections of a player where the focal actor forms a common venture with the nearest neighbors. In reality, however, not all of our partners are involved in every games. To elaborate this observation, we propose a model where individuals choose just some selected neighbors from the complete set to form a group for public goods. We explore the potential consequences by using a pair-approximation approach in a weak-selection limit. We theoretically analyze how the number of total neighbors and the actual size of the restricted group influence the critical enhancement factor where cooperation becomes dominant over defection. Furthermore, we systematically compare our model with the traditional setup and show that the critical enhancement factor is lower than in the case when all players are present in the social dilemma. Hence the suggested restricted interaction mode offers a better condition for the evolution of cooperation. Our theoretical findings are supported by numerical calculations.","Tue, 5 Mar 2024 07:51:01 UTC (379 KB)"
"46","Fighting Game Adaptive Background Music for Improved Gameplay","Ibrahim Khan, Thai Van Nguyen, Chollakorn Nimpattanavong, Ruck Thawonmas","Sound (cs.SD)","This paper presents our work to enhance the background music (BGM) in DareFightingICE by adding adaptive features. The adaptive BGM consists of three different categories of instruments playing the BGM of the winner sound design from the 2022 DareFightingICE Competition. The BGM adapts by changing the volume of each category of instruments. Each category is connected to a different element of the game. We then run experiments to evaluate the adaptive BGM by using a deep reinforcement learning AI agent that only uses audio as input (Blind DL AI). The results show that the performance of the Blind DL AI improves while playing with the adaptive BGM as compared to playing without the adaptive BGM.","Tue, 5 Mar 2024 06:46:43 UTC (914 KB)"
"47","Enhanced DareFightingICE Competitions: Sound Design and AI Competitions","Ibrahim Khan, Chollakorn Nimpattanavong, Thai Van Nguyen, Kantinan Plupattanakit, Ruck Thawonmas","Human-Computer Interaction (cs.HC)","This paper presents a new and improved DareFightingICE platform, a fighting game platform with a focus on visually impaired players (VIPs), in the Unity game engine. It also introduces the separation of the DareFightingICE Competition into two standalone competitions called DareFightingICE Sound Design Competition and DareFightingICE AI Competition--at the 2024 IEEE Conference on Games (CoG)--in which a new platform will be used. This new platform is an enhanced version of the old DareFightingICE platform, having a better audio system to convey 3D sound and a better way to send audio data to AI agents. With this enhancement and by utilizing Unity, the new DareFightingICE platform is more accessible in terms of adding new features for VIPs and future audio research. This paper also improves the evaluation method for evaluating sound designs in the Sound Design Competition which will ensure a better sound design for VIPs as this competition continues to run at future CoG. To the best of our knowledge, both of our competitions are first of their kind, and the connection between the competitions to mutually improve the entries' quality with time makes these competitions an important part of representing an often overlooked segment within the broader gaming community, VIPs.","Tue, 5 Mar 2024 06:15:48 UTC (2,644 KB)"
"48","Quantum Advantage: A Single Qubit's Experimental Edge in Classical Data Storage","Chen Ding, Edwin Peter Lobo, Mir Alimuddin, Xiao-Yue Xu, Shuo Zhang, Manik Banik, Wan-Su Bao, He-Liang Huang","Quantum Physics (quant-ph)","We implement an experiment on a photonic quantum processor establishing efficacy of an elementary quantum system in classical information storage. The advantage is established by considering a class of simple bipartite games played with the communication resource qubit and classical bit (c-bit), respectively. Conventional wisdom, as articulated by the no-go theorems of Holevo and Frenkel-Weiner, suggests that such a quantum advantage is unattainable in scenarios wherein sender and receiver possess shared randomness or classical correlation between them. Notably, the advantage we report is demonstrated in a scenario where participating players lack any form of shared randomness. Our experiment involves the development of a variational triangular polarimeter, enabling the realization of positive operator value measurements crucial for establishing the targeted quantum advantage. In addition to demonstrating a robust communication advantage of a single qubit our experiment also opens avenues for immediate applications in near-term quantum technologies. Furthermore, it constitutes a semi-device-independent non-classicality certification scheme for the quantum encoding-decoding apparatus, underscoring the broader implications of our work beyond its immediate technological applications.","Tue, 5 Mar 2024 05:09:32 UTC (5,366 KB)"
"49","Large Language Models and Video Games: A Preliminary Scoping Review","Penny Sweetser","Human-Computer Interaction (cs.HC)","Large language models (LLMs) hold interesting potential for the design, development, and research of video games. Building on the decades of prior research on generative AI in games, many researchers have sped to investigate the power and potential of LLMs for games. Given the recent spike in LLM-related research in games, there is already a wealth of relevant research to survey. In order to capture a snapshot of the state of LLM research in games, and to help lay the foundation for future work, we carried out an initial scoping review of relevant papers published so far. In this paper, we review 76 papers published between 2022 to early 2024 on LLMs and video games, with key focus areas in game AI, game development, narrative, and game research and reviews. Our paper provides an early state of the field and lays the groundwork for future research and reviews on this topic.","Tue, 5 Mar 2024 03:04:35 UTC (138 KB)"
"50","ChatGPT4PCG 2 Competition: Prompt Engineering for Science Birds Level Generation","Pittawat Taveekitworachai, Febri Abdullah, Mury F. Dewantoro, Yi Xia, Pratch Suntichaikul, Ruck Thawonmas, Julian Togelius, Jochen Renz","Artificial Intelligence (cs.AI)","This paper presents the second ChatGPT4PCG competition at the 2024 IEEE Conference on Games. In this edition of the competition, we follow the first edition, but make several improvements and changes. We introduce a new evaluation metric along with allowing a more flexible format for participants' submissions and making several improvements to the evaluation pipeline. Continuing from the first edition, we aim to foster and explore the realm of prompt engineering (PE) for procedural content generation (PCG). While the first competition saw success, it was hindered by various limitations; we aim to mitigate these limitations in this edition. We introduce diversity as a new metric to discourage submissions aimed at producing repetitive structures. Furthermore, we allow submission of a Python program instead of a prompt text file for greater flexibility in implementing advanced PE approaches, which may require control flow, including conditions and iterations. We also make several improvements to the evaluation pipeline with a better classifier for similarity evaluation and better-performing function signatures. We thoroughly evaluate the effectiveness of the new metric and the improved classifier. Additionally, we perform an ablation study to select a function signature to instruct ChatGPT for level generation. Finally, we provide implementation examples of various PE techniques in Python and evaluate their preliminary performance. We hope this competition serves as a resource and platform for learning about PE and PCG in general.","Tue, 5 Mar 2024 02:58:57 UTC (88 KB)"
"51","The Ink Splotch Effect: A Case Study on ChatGPT as a Co-Creative Game Designer","Asad Anjum, Yuting Li, Noelle Law, M Charity, Julian Togelius","Artificial Intelligence (cs.AI)","This paper studies how large language models (LLMs) can act as effective, high-level creative collaborators and ``muses'' for game design. We model the design of this study after the exercises artists use by looking at amorphous ink splotches for creative inspiration. Our goal is to determine whether AI-assistance can improve, hinder, or provide an alternative quality to games when compared to the creative intents implemented by human designers. The capabilities of LLMs as game designers are stress tested by placing it at the forefront of the decision making process. Three prototype games are designed across 3 different genres: (1) a minimalist base game, (2) a game with features and game feel elements added by a human game designer, and (3) a game with features and feel elements directly implemented from prompted outputs of the LLM, ChatGPT. A user study was conducted and participants were asked to blindly evaluate the quality and their preference of these games. We discuss both the development process of communicating creative intent to an AI chatbot and the synthesized open feedback of the participants. We use this data to determine both the benefits and shortcomings of AI in a more design-centric role.","Mon, 4 Mar 2024 20:14:38 UTC (1,432 KB)"
"52","A Multi-agent Reinforcement Learning Study of Evolution of Communication and Teaching under Libertarian and Utilitarian Governing Systems","Aslan S. Dizaji","Multiagent Systems (cs.MA)","Laboratory experiments have shown that communication plays an important role in solving social dilemmas. Here, by extending the AI-Economist, a mixed motive multi-agent reinforcement learning environment, I intend to find an answer to the following descriptive question: which governing system does facilitate the emergence and evolution of communication and teaching among agents? To answer this question, the AI-Economist is extended by a voting mechanism to simulate three different governing systems across individualistic-collectivistic axis, from full-libertarian to Full-Utilitarian governing systems. Moreover, the AI-Economist is further extended to include communication with possible misalignment, a variant of signalling game, by letting agents to build houses together if they are able to name mutually complement material resources by the same letter. Moreover, another extension is made to the AI-Economist to include teaching with possible misalignment, again a variant of signalling game, by letting half the agents as teachers who know how to use mutually complement material resources to build houses but are not capable of building actual houses, and the other half as students who do not have this information but are able to actually build those houses if teachers teach them. I found a strong evidence that collectivistic environment such as Full-Utilitarian system is more favourable for the emergence of communication and teaching, or more precisely, evolution of language alignment. Moreover, I found some evidence that evolution of language alignment through communication and teaching under collectivistic governing systems makes individuals more advantageously inequity averse. As a result, there is a positive correlation between evolution of language alignment and equality in the society.","Mon, 4 Mar 2024 14:49:14 UTC (4,347 KB)"
"53","Entanglement: Balancing Punishment and Compensation, Repeated Dilemma Game-Theoretic Analysis of Maximum Compensation Problem for Bypass and Least Cost Paths in Fact-Checking, Case of Fake News with Weak Wallace's Law","Yasuko Kawahata","Physics and Society (physics.soc-ph)","This research note is organized with respect to a novel approach to solving problems related to the spread of fake news and effective fact-checking. Focusing on the least-cost routing problem, the discussion is organized with respect to the use of Metzler functions and Metzler matrices to model the dynamics of information propagation among news providers. With this approach, we designed a strategy to minimize the spread of fake news, which is detrimental to informational health, while at the same time maximizing the spread of credible information. In particular, through the punitive dominance problem and the maximum compensation problem, we developed and examined a path to reassess the incentives of news providers to act and to analyze their impact on the equilibrium of the information market. By applying the concept of entanglement to the context of information propagation, we shed light on the complexity of interactions among news providers and contribute to the formulation of more effective information management strategies. This study provides new theoretical and practical insights into issues related to fake news and fact-checking, and will be examined against improving informational health and public digital health.","Sun, 18 Feb 2024 18:26:50 UTC (2,520 KB)"
"54","Human-AI Collaboration Increases Skill Tagging Speed but Degrades Accuracy","Cheng Ren, Zachary Pardos, Zhi Li","Human-Computer Interaction (cs.HC)","AI approaches are progressing besting humans at game-related tasks (e.g. chess). The next stage is expected to be Human-AI collaboration; however, the research on this subject has been mixed and is in need of additional data points. We add to this nascent literature by studying Human-AI collaboration on a common administrative educational task. Education is a special domain in its relation to AI and has been slow to adopt AI approaches in practice, concerned with the educational enterprise losing its humanistic touch and because standard of quality is demanded because of the impact on a person's career and developmental trajectory. In this study (N = 22), we design an experiment to explore the effect of Human-AI collaboration on the task of tagging educational content with skills from the US common core taxonomy. Our results show that the experiment group (with AI recommendations) saved around 50% time (p < 0.01) in the execution of their tagging task but at the sacrifice of 7.7% recall (p = 0.267) and 35% accuracy (p= 0.1170) compared with the non-AI involved control group, placing the AI+human group in between the AI alone (lowest performance) and the human alone (highest performance). We further analyze log data from this AI collaboration experiment to explore under what circumstances humans still exercised their discernment when receiving recommendations. Finally, we outline how this study can assist in implementing AI tools, like ChatGPT, in education.","Mon, 4 Mar 2024 17:45:52 UTC (411 KB)"
"55","Policy Space Response Oracles: A Survey","Ariyan Bighashdel, Yongzhao Wang, Stephen McAleer, Rahul Savani, Frans A. Oliehoek","Computer Science and Game Theory (cs.GT)","In game theory, a game refers to a model of interaction among rational decision-makers or players, making choices with the goal of achieving their individual objectives. Understanding their behavior in games is often referred to as game reasoning. This survey provides a comprehensive overview of a fast-developing game-reasoning framework for large games, known as Policy Space Response Oracles (PSRO). We first motivate PSRO, provide historical context, and position PSRO within game-reasoning approaches. We then focus on the strategy exploration issue for PSRO, the challenge of assembling an effective strategy portfolio for modeling the underlying game with minimum computational cost. We also survey current research directions for enhancing the efficiency of PSRO, and explore the applications of PSRO across various domains. We conclude by discussing open questions and future research.","Mon, 4 Mar 2024 17:15:09 UTC (89 KB)"
"56","Reinforcement Learning for Inverse Non-Cooperative Linear-Quadratic Output-feedback Differential Games","Emin Martirosyan, Ming Cao","Optimization and Control (math.OC)","In this paper, we address the inverse problem for linear-quadratic differential non-cooperative games with output-feedback. Given players' stabilizing feedback laws, the goal is to find cost function parameters that lead to a game for which the observed game dynamics are at a Nash equilibrium. Using the given feedback laws, we introduce a model-based algorithm that generates cost function parameters solving the above inverse problem. We introduce a correction procedure that at each iteration of the algorithm guarantees the existence of the feedback laws, which addresses a key challenge of output-feedback control designs. As an intermediate stage of the algorithm, we have developed a procedure for the initial stabilization of the multiple-input system with output-feedback information structure. We prove convergence and stability of the algorithm, and show the way to generate new games with necessary properties without requiring to run the complete algorithm repeatedly. Then the algorithm is extended to a model-free version that uses data samples generated by unknown dynamics and has the same converging and stabilizing properties as the model-based version. Finally, we show how the inverse problem can be solved in a distributed manner and provide possible extensions. Simulation results validate the effectiveness of the proposed algorithms.","Mon, 4 Mar 2024 15:56:40 UTC (54 KB)"
"57","Iterated $Q$-Network: Beyond the One-Step Bellman Operator","Théo Vincent, Daniel Palenicek, Boris Belousov, Jan Peters, Carlo D'Eramo","Machine Learning (cs.LG)","Value-based Reinforcement Learning (RL) methods rely on the application of the Bellman operator, which needs to be approximated from samples. Most approaches consist of an iterative scheme alternating the application of the Bellman operator and a subsequent projection step onto a considered function space. However, we observe that these algorithms can be improved by considering multiple iterations of the Bellman operator at once. Thus, we introduce iterated $Q$-Networks (iQN), a novel approach that learns a sequence of $Q$-function approximations where each $Q$-function serves as the target for the next one in a chain of consecutive Bellman iterations. We demonstrate that iQN is theoretically sound and show how it can be seamlessly used in value-based and actor-critic methods. We empirically demonstrate its advantages on Atari $2600$ games and in continuous-control MuJoCo environments.","Mon, 4 Mar 2024 15:07:33 UTC (5,858 KB)"
"58","Modeling Multimodal Social Interactions: New Challenges and Baselines with Densely Aligned Representations","Sangmin Lee, Bolin Lai, Fiona Ryan, Bikram Boote, James M. Rehg","Computer Vision and Pattern Recognition (cs.CV)","Understanding social interactions involving both verbal and non-verbal cues is essential to effectively interpret social situations. However, most prior works on multimodal social cues focus predominantly on single-person behaviors or rely on holistic visual representations that are not densely aligned to utterances in multi-party environments. They are limited in modeling the intricate dynamics of multi-party interactions. In this paper, we introduce three new challenging tasks to model the fine-grained dynamics between multiple people: speaking target identification, pronoun coreference resolution, and mentioned player prediction. We contribute extensive data annotations to curate these new challenges in social deduction game settings. Furthermore, we propose a novel multimodal baseline that leverages densely aligned language-visual representations by synchronizing visual features with their corresponding utterances. This facilitates concurrently capturing verbal and non-verbal cues pertinent to social reasoning. Experiments demonstrate the effectiveness of the proposed approach with densely aligned multimodal representations in modeling social interactions. We will release our benchmarks and source code to facilitate further research.","Mon, 4 Mar 2024 14:46:58 UTC (1,352 KB)"
"59","Turtles, Hats and Spectres: Aperiodic structures on a Rhombic tiling","James Smith","Metric Geometry (math.MG)","These notes derive aperiodic monotiles (arXiv:2303.10798) from a set of rhombuses with matching rules. This dual construction is used to simplify the proof of aperiodicity by considering the tiling as a colouring game on a Rhombille tiling. A simple recursive substitution system is then introduced to show the existence of a non-periodic tiling without the need for computer-aided verification. A new cut-and-project style construction linking the Turtle tiling with 1-dimensional Fibonacci words provides a second proof of non-periodicity, and an alternative demonstration that the Turtle can tile the plane. Deforming the Turtle into the Hat tile then provides a third proof for non-periodicity by considering the effect on the lattice underlying the Rhombille tiling. Finally, attention turns to the Spectre tile. In collaboration with Erhard Künzel and Yoshiaki Araki, we present two new substitution rules for generating Spectre tilings. This pair of conjugate rules show that the aperiodic monotile tilings can be considered as a 2-dimensional analog to Sturmian words.","Mon, 4 Mar 2024 10:19:03 UTC (15,893 KB)"
"60","Cooperative and Interaction-aware Driver Model for Lane Change Maneuver","Jemin Woo, Changsun Ahn","Systems and Control (eess.SY)","To achieve complete autonomous vehicles, it is crucial for autonomous vehicles to communicate and interact with their surrounding vehicles. Especially, since the lane change scenarios do not have traffic signals and traffic rules, the interactions between vehicles need to be considered for the autonomous vehicles. To address this issue, we propose a cooperative and interaction-aware decision-making algorithm for autonomous vehicles that stochastically considers the future behavior of surrounding vehicles based on actual driving data. The algorithm is designed for both lane changing and lane keeping vehicles, and effectively considers interaction by using an interaction model based on relative information between vehicles with fewer states. To design the decision-making, the interaction model is defined as Markov decision process, and stochastic dynamic programming is used to solve the Markov decision process. We validate the effectiveness of our proposed algorithm in lane change scenarios that require interaction. Our results demonstrate that the proposed algorithm enables cooperative and interaction-aware decision-making while accommodating various driving styles. Additionally, by comparing it with other methods, such as the intelligent driver model and game theory-based decision-making, we validate the safety and comfortable decision-making of our proposed algorithm. Furthermore, through driving with a human-driven vehicle, it is confirmed that the proposed decision-making enables to cooperatively and effectively drive with humans.","Mon, 4 Mar 2024 06:12:15 UTC (9,513 KB)"
"61","Improving Adversarial Energy-Based Model via Diffusion Process","Cong Geng, Tian Han, Peng-Tao Jiang, Hao Zhang, Jinwei Chen, Søren Hauberg, Bo Li","Machine Learning (cs.LG)","Generative models have shown strong generation ability while efficient likelihood estimation is less explored. Energy-based models~(EBMs) define a flexible energy function to parameterize unnormalized densities efficiently but are notorious for being difficult to train. Adversarial EBMs introduce a generator to form a minimax training game to avoid expensive MCMC sampling used in traditional EBMs, but a noticeable gap between adversarial EBMs and other strong generative models still exists. Inspired by diffusion-based models, we embedded EBMs into each denoising step to split a long-generated process into several smaller steps. Besides, we employ a symmetric Jeffrey divergence and introduce a variational posterior distribution for the generator's training to address the main challenges that exist in adversarial EBMs. Our experiments show significant improvement in generation compared to existing adversarial EBMs, while also providing a useful energy function for efficient density estimation.","Mon, 4 Mar 2024 01:33:53 UTC (6,702 KB)"
"62","Atropos-k is PSPACE-complete","Chao Yang, Zhujun Zhang","Computational Complexity (cs.CC)","Burke and Teng introduced a two-player combinatorial game Atropos based on Sperner's lemma, and showed that deciding whether one has a winning strategy for Atropos is PSPACE-complete. In the original Atropos game, the players must color a node adjacent to the last colored node. Burke and Teng also mentioned a variant Atropos-k in which each move is at most of distance k of the previous move, and asked a question on determining the computational complexity of this variant. In this paper, we answer this question by showing that for any fixed integer k (k>=2), Atropos-k is PSPACE-complete by reduction from True Quantified Boolean Formula (TQBF).","Mon, 4 Mar 2024 01:07:41 UTC (31 KB)"
"63","Generalized pair-wise logit dynamic and its connection to a mean field game: theoretical and computational investigations focusing on resource management","Hidekazu Yoshioka, Motoh Tsujimura","Optimization and Control (math.OC)","Logit dynamics are evolution equations that describe transitions to equilibria of actions among many players. We formulate a pair-wise logit dynamic in a continuous action space with a generalized exponential function, which we call a generalized pair-wise logit dynamic, depicted by a new evolution equation nonlocal in space. We prove the well-posedness and approximability of the generalized pair-wise logit dynamic to show that it is computationally implementable. We also show that this dynamic has an explicit connection to a mean field game of a controlled pure-jump process, with which the two different mathematical models can be understood in a unified way. Particularly, we show that the generalized pair-wise logit dynamic is derived as a myopic version of the corresponding mean field game, and that the conditions to guarantee the existence of unique solutions are different from each other. The key in this procedure is to find the objective function to be optimized in the mean field game based on the logit function. The monotonicity of the utility is unnecessary for the generalized pair-wise logit dynamic but crucial for the mean field game. Finally, we present applications of the two approaches to fisheries management problems with collected data.","Mon, 4 Mar 2024 00:41:34 UTC (2,233 KB)"
"64","Never Tell the Trick: Covert Interactive Mixed Reality System for Immersive Storytelling","Chanwoo Lee, Kyubeom Shim, Sanggyo Seo, Gwonu Ryu, Yongsoon Choi","Human-Computer Interaction (cs.HC)","This study explores the integration of Ultra-Wideband (UWB) technology into Mixed Reality (MR) Systems for immersive storytelling. Addressing the limitations of existing technologies like Microsoft Kinect and HTC Vive, the research focuses on overcoming challenges in robustness to occlusion, tracking volume, and cost efficiency in props tracking. Utilizing UWB technology, the interactive MR system enhances the scope of performance art by enabling larger tracking areas, more reliable and cheaper multi-prop tracking, and reducing occlusion issues. Preliminary user tests suggest meaningful improvements in immersive experience, promising a new possibility in Extended Reality (XR) theater, performance art and immersive game.","Sun, 3 Mar 2024 19:17:14 UTC (16,177 KB)"
"65","Mixed-Strategy Nash Equilibrium for Crowd Navigation","Muchen Sun, Francesca Baldini, Peter Trautman, Todd Murphey","Robotics (cs.RO)","We address the problem of finding mixed-strategy Nash equilibrium for crowd navigation. Mixed-strategy Nash equilibrium provides a rigorous model for the robot to anticipate uncertain yet cooperative human behavior in crowds, but the computation cost is often too high for scalable and real-time decision-making. Here we prove that a simple iterative Bayesian updating scheme converges to the Nash equilibrium of a mixed-strategy social navigation game. Furthermore, we propose a data-driven framework to construct the game by initializing agent strategies as Gaussian processes learned from human datasets. Based on the proposed mixed-strategy Nash equilibrium model, we develop a sampling-based crowd navigation framework that can be integrated into existing navigation methods and runs in real-time on a laptop CPU. We evaluate our framework in both simulated environments and real-world human datasets in unstructured environments. Our framework consistently outperforms both non-learning and learning-based methods on both safety and navigation efficiency and reaches human-level crowd navigation performance on top of a meta-planner.","Sun, 3 Mar 2024 15:30:59 UTC (8,609 KB)[v2] Tue, 5 Mar 2024 15:48:15 UTC (8,609 KB)"
"66","Optimistic and pessimistic approaches for cooperative games","Ata Atay, Christian Trudeau","Theoretical Economics (econ.TH)","Cooperative game theory aims to study how to divide a joint value created by a set of players. These games are often studied through the characteristic function form with transferable utility, which represents the value obtainable by each coalition. In the presence of externalities, there are many ways to define this value. Various models that account for different levels of player cooperation and the influence of external players on coalition value have been studied. Although there are different approaches, typically, the optimistic and pessimistic approaches provide sufficient insights into strategic interactions. This paper clarifies the interpretation of these approaches by providing a unified framework. We show that making sure that no coalition receives more than their (optimistic) upper bounds is always at least as difficult as guaranteeing their (pessimistic) lower bounds. We also show that if externalities are negative, providing these guarantees is always feasible. Then, we explore applications and show how our findings can be applied to derive results from the existing literature.","Sun, 3 Mar 2024 08:34:38 UTC (41 KB)"
"67","Control of cascading failures using protective measures","Davood Fazli, Mozhgan Khanjanianpak, Nahid Azimi-Tafreshi","Physics and Society (physics.soc-ph)","Cascading failures, triggered by a local perturbation, can be catastrophic and cause irreparable damages in a wide area. Hence, blocking the devastating cascades is an important issue in real world networks. One of the ways to control the cascade is to use protective measures, so that the agents decide to be protected against failure. Here, we consider a coevolution of the linear threshold model for the spread of cascading failures and a decision-making game based on the perceived risk of failure. Protected agents are less vulnerable to failure and in return the size of the cascade affects the agent's decision to get insured. We find at what range of protection efficiency and cost of failure, the global cascades stop. Also we observe that in some range of protection efficiency, a bistable region emerges for the size of cascade and the prevalence of protected agents. Moreover, we show how savings or the ability of agents to repair can prevent cascades from occurring","Sat, 2 Mar 2024 13:07:02 UTC (667 KB)"
