"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"thape-d","15 February 2023","The movie is good in respect to the fact that it continues to build upon everything established in the previous films regarding the quantum realm and Janet van dyne's story. The story itself is a bit thin but when you accept that it's not really about the main stars in the title, but KANG and Janet, you can really see what they're trying to do and that is to establish the new narrative going forward and everything it entails. Overall, KANG will be a very formidable foe for everybody. Looking forward to the rest of phase 4 and 5 and finding out Kang's motivations for doing what he does and why he does it. Also hoping for more involvement from Scott in the future.Ant-man and the wasp only in name.","
            7/10
            "
"Shaunmatthewc","23 May 2023","Wow, where to begin. Basically so many Marvel films after Endgame have been completely forgettable. Ant-Man 3 is no different. I expected the Quantum Realm to be more wacky and out there just like I expected Doctor Strange and The Multiverse Of Madness to have well more Multiverse. The story seemed very bland to me, it was entertaining but nothing new, we've seen it all a million times before. It doesn't help that some of the story seemed like a carbon copy of Tron Legacy. Scott Lang was missing his heist team here and it shows, the film falls flat without them appearing. Kang is supposed to be bigger and harder than Thanos but was almost a complete throwaway. Watch if you've got nothing better to do but I wouldn't go out my way to see it. Marvel need to do better!","
            2/10
            "
"BandSAboutMovies","18 February 2023","As a kid, I read and re-read Marvel Premiere #47, which showed how Scott Lang became Ant-Man. Written by David Michelinie and drawn by X-Men team of teams John Byrne and Terry Austin, it was a story I read and re-read and if you have ever seen the way I draw comic books, so much of it comes from this issue.So when it comes to that whole ""Are comics cinema?"" back and forth argument, I think you can figure out what side I'm on. Are there too many comic book movies? Were there too many giallo from 1970-1975? Did Italy make too many Westerns? Were there too many slashers in 1981? Can there be too much of something that you love?Alright, now that I have gotten past the legally required nod to serious criticism, let me tell you why I enjoyed this movie about humanoid broccoli.After the Avengers save everything from Thanos, former criminal and current Avenger Scott Lang (Paul Rudd) has settled down from being Ant-Man, instead enjoying life as a writer, husband of Hope Van Dyne (Evangeline Lilly) and father of Cassie Lang (Kathryn Newton), who is upset that her father isn't fighting for people any longer, instead enjoying the fruits of his hard work and resting on his laurels. There's a moment that's interesting here, as she discusses all the people who were displaced in the time where Thanos killed half of reality and now are homeless. Yes, it'd be great to explore this but this is a popcorn movie that soon moves past that; I'm not suggesting a popcorn movie delve into that, but hey, if there ends up being a Disney+ D-Man series that does, I'd watch that. Also, the fact that I just casually namedropped D-Man should explain why I never went to the prom.Anyways, Cassie has been working with her stepmother Hope and Hank Pym (Michael Douglas) to communicate with the Quantum Realm, the place where Hank's wife Janey Van Dyne (Michelle Pfeiffer) spent thirty years of her life and has no interest in going back, particularly when it comes to explaining her past or unleashing new Marvel Cinematic Universe big bad Kang the Conquerer (Jonathan Majors, who is quite frankly amazing in this movie and brings a real sense of big drama to his role, not to mention all the various - oh yeah, SPOILER WARNING, I forgot that legal disclaimer -versions of Kang that he shows off, including Immortus, Rama-Tut, Scarlet Centurion and Victor Timely).Everyone soon gets pulled into that Quantum Realm and becomes part of the war between its inhabitants, with good rebels Jentorra (Katy O'Brian, who was already part of the MCU as Kimball in Marvel's Agents of S. H. I. E. L. D., as well as Major Sarah Grey in the DC superhero TV series Black Lightning and a comms officer on The Mandalorian; if you really want me to go full geek, she's a member of former Micronauts leader Commander Arcturus Rann's Enigma Force alongside other non-Mego owned characters Marionette and Bug; one more semicolon but man, this movie is as close as we're ever getting to a Michael Golden-era Micronauts movie), telepathic Quaz (William Jackson Harper; he's not Quasar, as many Marvel fans thought, but when he does pull a password out of someone's mind at one point, it's 18147, which would be Avengers #181, Scott Lang's first appearance, and a shout out to the aforementioned Marvel Premiere #47), the slime creature with no holes named Veb (David Dastmalchian, who was Kurt in the last two Ant-Man movies, Abra Kadabra on The Flash and Polka Dot Man in Suicide Squad), the flashlight head Xolum (James Cutler) and oh yeah, there's Bill Murray as Lando Calrissian (I kid, he's Lord Krylar, another of the characters like Jentorra who come from K'ai, the microplanet where the Hulk met one of the loves of his life Jarella) battling Kang and his Tron: Legacy-looking soldiers like he's Baron Karza or something.Anyways, yes, this all feels rather like Star Wars but then again isn't Star Wars influenced if not ripped off from Jack Kirby's Fourth World? Kirby invented most of the MCU and rebelling against a dark authority is pretty much an archetype. Where this gets kind of operatic is that Ant-Man is, well, an ant against space god Kang and that's a battle that I never saw coming.I also never thought I'd see MODOK (Machine Organism Designed Only for Killing) in a movie, much less one that fully embraces the absolutely goofy idea of a giant head in a chair with weapons and baby legs. Also, this ends up being former Yellowjacket Darren Cross from the first movie and every time his real face shows up, it breaks the movie but it's a welcome break in the movie.You can imagine - and you'd be right - that the good guys win but this movie brings up an interesting idea that you can't just punch Kang, who lives his life across multiple timelines that are not linear and that this Kang may not be the worst of the many Kangs. Then Scott brushes it off and tries to enjoy some Baskin-Robbins ice cream cake (the fact that the ice cream chain has no tie-in flavor and yet had a Condorman flavor back in the 80s is kind of upsetting).In the same way that politics - nice socialism shoutout with the ants in this - just leads to people not listening to one another, a lot of folks have their minds made up about comic book movies which are really just mythology and should be seen as such. That said, this movie did what all popcorn films should: it entertained me. I think it's hilarious that one of the film's writers, Jeff Loveness, said that this movie is ""Jodorowsky's Dune within Marvel"" and there are not enough drugs in the world to show you what Alejandro Jodorowsky would do with a Marvel film but hey, he also did The Incal in comics form, so when you denigrate comics, keep in mind that a hero of cinema spent so much of his time there.I explained to my wife tonight that as a kid, there I never really wanted to get involved in human drama or how stressful some extended family members could be, so I just filled my life with comic books. Often when we talk on the phone, my mom will say, ""Do you remember this person,"" and the answer is no, I do not remember this person. However, if she asked, ""Was Wolverine really in World War 2?"" I could give her several anecdotes and explain how Black Widow could be young and yet still saved by Logan and Captain America in 1941.So yeah, I liked this movie.","
            7/10
            "
"gatorgus48","5 June 2023","Way too much CGI. It's overwhelming and distracting. Probably just as well because the dialogue was poor.The actor who played Kang was the only good thing about the movie. However, he has to be one of the dumbest 'supervillains' on screen.Why didn't he just take off their suits when he had captured them? Or even just kill them. But no, he had to 'Doctor Evil' it.In addition, the idea he didn't notice a million fricken ants in his domain is absurd.Further, why he could build that huge empire but couldn't figure out how to shrink the power source without her is also absurd.And Kang was somehow able to get away from a million ants, but couldn't beat Paul Rudd in a fight.The dialogue was atrocious and making Michael Douglas look young was well done, but disturbing in an odd way.I feel it actually made me dumber for having watched it.","
            1/10
            "
"Ceronomus","16 March 2023","We saw Quantumania last night and I enjoyed it. I'm unsure why it is getting as much negative feedback as it is. Certainly, it isn't the best of the offerings from the MCU - and I really, REALLY miss Michael Peña's Luis, but honestly? It was a fun popcorn burner.Were there a few visual effects that seemed a little ""off"" to me? Certainly. But, overall I found some of the visuals to be absolutely stunning and some of the inhabitants of the Quantum Realm (like that big single-celled predator in the beginning seemed truly inspired. I keep hearing about how the VFX suffered from the lack of skilled VFX artists due to the production of the new Black Panther movie. I just don't see it.As far as the script goes, like I said, it isn't the best entry in the MCU. But, then again, they aren't all going to be runaway blockbusters. It has already made $450M on a budget of around $200M, enough to be at least considered moderately successful - and is in no way a ""flop"".While I get that my tastes aren't everyone's (my wife found the movie a bit to derivative for her tastes), I just am not seeing what so many others apparently are.I think that Quantumania is a 3 star, middle of the road movie and there is nothing wrong with that.","
            8/10
            "
"meissotruey","14 April 2023","Here is my stop. I'm 100% sick and tired of those terribly written and designed multiverse. Marvel Studios just made their final blow. The whole multiverse saga is beyond miserable, it is so much more than just disgusting nonsense, it is whole universe of crap! Every new character in MCU(usually it's kids( of Clint and Scott for example)) makes fun of real guys that we know from films before, while being totally brainless childish clowns, that just don't listen to anything. Multiverse saga i believe should extend the lore, make the whole story broader, but it just ended up being the most unbelievable senseless thing thay i've ever saw. P. S. Even before, i would say marvel got cool movies as an exception, big exception( like first Iron Man or Homecoming) but as for now it is literally worse than anyone could've imagined. It has the worst writing and lore of all possible. Skip this trash.","
            6/10
            "
"skmenon1993","17 February 2023","***Ant Man & the Wasp : Quantumania Movie Review ****Visually Splendid Experience... 🔥🔥🔥Scott Lang is back... This time he is on a mission to save his family from Kang: The Conqueror.Quantumania, Timeline, Kang Variants , Probability Storm & many more terminologies insights got from this movie...VFX i would personally view as Top Notch 🔥🔥Kang alias Jonathon Majors was outstanding. His small version was observed in Loki Season 1 but here he nailed the performance which i feel personally overshadowed the performance of Scott Lang & his team.2 Post credit scenes as always gives hopes to watch it's future Marvel Movies.Overall a visual treat experience movie which no doubt cannot afford to watch on a streaming platform.","
            2/10
            "
"brentsbulletinboard","20 February 2023","If you're looking for a dazzling display of special effects (especially in 3-D), then this latest installment in the Marvel Universe's ""Ant-man"" franchise is for you. However, if you're looking for an absorbing story, more along the lines of ""Black Panther: Wakanda Forever"" (2022), you'll probably want to look elsewhere, despite the superb eye candy on offer here. Though visually dazzling, director Payton Reed's latest feels like something of a placeholder entry in the ongoing string of movies in this long-running series of action-adventures. Set in a vividly colorful, fantastically landscaped universe that exists below our reality at the quantum level, this picture tells the story of an unlikely superhero (Paul Rudd) and his family of colleagues (Evangeline Lilly, Michael Douglas, Michelle Pfeiffer, Kathryn Newton) who become inadvertently trapped in this strange world and desperately look for a way to get home, but they must first match wits with a dastardly, powerful villain (Jonathan Majors) who stands in their way. What ultimately transpires, however, is a story that's eminently predictable and fairly formulaic, reminiscent of many other such tales, such as ""Tron: Legacy"" (2010). Also, like many other Marvel movies, the concluding sequence is once again entirely too long (even though the overall length of this production is, thankfully, comparatively shorter than many of its protracted peer releases). To its credit, the film features fine performances by Pfeiffer and Majors, as well as a commendably lucid explanation of the rudiments of quantum physics. However, these strengths, along with its stunning visuals, aren't enough to overcome the overall narrative blandness of this offering. While ""Quantumania"" is certainly best viewed on the big screen in 3-D for maximum visual effect, this film might otherwise be considered a candidate worth waiting for its streaming debut. The kind of overkill on display in this work isn't doing the Marvel Universe any good, something that really needs to be borne in mind for the future of these releases.","
            6/10
            "
"scootm16","18 February 2023","Where do I even start with this boring, exposition-drenched Star Wars wannabe?I guess I'll start at when I knew the movie was going to be trash. At the beginning of the movie, Ant-Man has to go down to the local police station to pick up his daughter from jail. She was arrested because the police were tasked with clearing out a homeless encampment (in reality, encampments are a serious crime issue on the West coast), but Ant-Man's daughter didn't like that, so she destroyed police equipment. The next scene at dinner, Hank Pym said he would've marched in there and broken her out of jail. Why is Marvel pushing anti-policing/anti-justice and having a teenage girl as their ""martyr"" or spokesperson or whatever. Shouldn't the Marvel heroes be working together with the police to stop crime? What is this leftist gibberish? I have grown to expect this from Marvel after the Disney acquisition, but man were the politics extra loud in this movie.Regardless of the extreme leftist political pandering written by someone who is completely detached from actual society and the real world being forced onto us, the movie was still trash. Kang was an absolute joke of a villain in this movie. I have no idea how they plan(ned) on making him the new big bad, someone on Thanos's level after what I just saw. The action was so boring and drab because you know everyone's going to be fine. There's no sense of danger or risk that something won't go as planned. So many scenes and sets were just blatantly ripped from A New Hope it's honestly pathetic.I know Disney owns Marvel and Star Wars, but keep them separate. Let them have their own feel to them, like back when the first Avengers came out. That movie had its own unique feel/aura and has aged extremely well. Marvel movies are now too busy pandering to politics to tell an interesting story with real fleshed out characters dealing with serious issues that have consequences. It feels like every Marvel movie is trying to be Thor Ragnarok now, and that only spells disaster.I'm more sad than mad. I thought this movie looked decent from the trailers too. After this, I don't think the days of actual quality films like Iron Man or Avengers are coming back, not from Disney.The most criminal thing about this movie is they somehow even made Paul Rudd unlikable.2/10.","
            7/10
            "
"shoebsaad","24 April 2023","It was a decent comic book ""Save the Universe"" movie. It had decent visual FX (I expected more for a film with a 200M budget) and has the humor you'd expect with Paul Rudd. Besides that, the movie is the weirdest and maybe the most unsatisfying MCU movie until now. It reminded me of Thor: Love and Thunder but with ants and a different story. The Story was all over the place. The whole movie is written like a Rick and Morty episode. Jeff Loveness is a talented sci-fi comedy writer, but his script struggles to make the characters distinct or take anything seriously.""Quantumania"" works on one fundamental level, setting up Kang the Conqueror as a formidable and ruthless villain for the upcoming Avengers movie, ""Avengers: Kang Dynasty,"" The movie's highlight is Jonathan Majors's role as Kang the Conqueror. His Kang was fantastic and pretty close to the comics, at least in terms of appearance.Overall I feel like this movie was just a very long TV episode. With that said, after the next Marvel films come out, I think I will go back and realize how important and good this film really was 😂.6.5/10.","
            7/10
            "
"evansjoshyr","19 February 2023","Quantimania is a strange a little movie. It tries to be an adventure movie, an Ant-Man movie and almost an avenger movie of sorts. There are far better adventure movies and the first Ant-Man has a more personal, funny and cute story. But it does succeed at being an entertaining watch in a couple of ways.Kang is the obvious highlight. Everyone knows it. The acting performance was amazing. He was intimidating and interesting. He was a scene stealer and is completely worth seeing the movie for. My only complaint is that the movie made him an Ant-Man level threat instead of an avenger level threat, which seems strange and unrealistic.Other strengths include good visuals, little bits of typical MCU humor (that don't undermine the kang threat imo) which occasionally made me smile and some enjoyable but basic character development between Ant-Man and his daughter.It's not the best or worst marvel movie. It's just a fine, standard superhero movie that happens to star the new large MCU villain. Can't wait to see more Kang.","
            6/10
            "
"jcfuller-00305","22 February 2023","One of the most fun and weird movies I've seen in a while, which is mostly a compliment. I liked it! It was fun! I was pleasantly surprised by the sheer number of creatively new designs the quantum realm yielded, the probability storm scene in particular was one of my favorite MCU movie sequences of the past couple years. It really felt like a colorful comic book come to life. The blobby guy was a scene-stealer, though obviously he didn't reach the sheer comedic prowess of Luis, who was missed here. The Pym-Lang family were a great cast of characters to watch and even if the other 2 Ant-Man films may be the better two because of the tonal difference, it was still interesting to see them face a larger-scale threat, and the final battle of the civilians and the heroes versus Kang's army felt very tense and exciting....where has Jonathan Majors been the past decade?? This man can act like nobody's business. Kang was easily one of the best parts of the movie, his backstory with Janet was really intriguing and his unrelenting coldness in his methods was chilling, as was his massive displays of power. It'll be awesome to see him again down the road. MODOK was cool and funny, until his mask came off and I felt as though someone had poured sodium chloride into my eyeballs. Bill Murray was good but underused. I wished there was a little more time spent in San Fransisco (Jimmy Woo!) it felt like we had just barely re-established the characters before they were thrown into the quantum realm. Also, the second trailer for this movie made it seem as though Kang was going to tempt Scott with helping him regain time with Cassie that he lost over the blip, with dialogue that I'm pretty sure wasn't in the Final Cut discussing it (Kang even tells Janet at one point that he could send her back before she ever left her own family). I'm surprised they didn't go this route in the movie, instead having Kang's end of the bargain only being to not kill all of them. Overall though, the movie was really fun, weird, and visually pleasing, and a great time at the movies. The stakes felt higher than most MCU movies since we know Kang is going to be the next big villain and it felt like anything could happen with the timeline.Now, my opinion on the MCU movie prejudice that seems to be growing and growing: People keep dissing on these movies because they're not as 'refined' or something as other movies out there, but It's unfair to compare completely different genres with each other. People that want to say the MCU is too ""VFX heavy"" or ""Unserious"" need to realize that that's exactly what these types of movies are here to provide for audiences: a colorful, funny, adventurous story filled with superpowered heroes that fight evil. And audiences eat it up every time, it's clear that MCU movies are connecting with the general moviegoing public because every single release is a hit (some smaller than others, but still successful) and people keep coming back for more. Those who want to take shots at the aspects of MCU movies that are integral parts of MCU movies should just watch something else. I completely understand disliking these movies if one thinks they contain weaker superhero stories or weaker VFX or weaker comedy than usual, but one can't complain about it the existence of these different aspects in general when they're just pillars of what makes an MCU movie that people keep on coming back to for more. Sure, Quantumania wasn't a masterpiece by any means, but that doesn't mean it wasn't a perfectly satisfying and fun romp through a superhero-filled world, which is exactly what I expected from it. If I wanted a movie without these aspects, I wouldn't watch it. Hope that made sense, and here's to more fun MCU outings.*exhales* but anyways, cool film. OWEN WILSON!!!!!!!!!","
            2/10
            "
"LeonLouisRicci","25 May 2023","Look at the Movie Poster...It Says it All...From Corner-to-Corner, Spattered with Dots, Splashes, Swaths, Swirls, and Characters. Fractures of Fractal Slits, Colors that Collide and Fade, Deep Field Density of Things Incomprehensible, or Barely Comprehensible.Standing Tall Among the Calamitous Collision is ""Ant-Man"".Buried Among a Phantasmagorical Display of a (Quantum)Realm, or a (Quantum-Multi)Universe, (take your pick), of Endless Images.But by the Time You Decide, Your Brain will be Attacked by Shards of All Sorts and Turn You Into a Mush-Head.The Built-in-Charm of a Ride on a Roller-Coaster is that it is Designed to be an ""In-Your-Face"" Thrill... but Contained within a Short-Time-Span.The Film is Designed to be a Roller-Coaster Ride that Runs 2Hrs...Nothing Here is Contained. It's Chaos Run Amok.Time-Span (how about a conglomerate of time-spans). A Cornucopia of Cosmic (micro-cosmos) Environments Hidden Far Beneath even an Ant-Colony.That is So Strange that a Mere, Puny Human-Observer is Unprepared and Unequipped for a Universe So Strange.Mind-Boggling...Disorienting Displays with a Hard-Candy-Colored Patina of This and That...Whooshing by You at Near Light-Speed that Freezes the Imagination and just when the Imagination Thaws...It's Frozen Again by Another Whoosh.You are Stuck in an Atmosphere of Sub-Atomic Bewilderment where a Human Cognizant Entity is Forever Lost in a Labyrinth of Layer Upon Layer of Indefinable Infinity.Back on Terra-Firma, ""Ant-Man"" is Writing a Book...""Look Out for the Little Guy""He Discovers there is Nothing ""Little"" in this Overflowing, Wall-to-Wall, Gorgeous Gorge of a Dynamic Digital Domain.Nothing, Nada, Zero ""Littleness"" even though it Takes Place in the ""Micro"".So by the 3rd Act He Decides that this is the Time for ""Ant-Man"" to become ""Giant-Man"" (yes that did happen in the ""Silver-Age"" Comics).Just when You Might Have Wondered...Hello! This is an ""Ant-Man"" Movie...Where are the Ants?Have No Fear, His Buddies will also Make an Appearance in the 3rd Act in Hyper-Scurrying ""Ant-Fashion"".The Villain of the Film is ""KRANG"" (sounds like a Kirby-Lee pre-Marvel, pre-Super-Hero Comic)...and the Strutting, Megalomaniacal, Bad-Guy Makes Life Bad for Every-One. He Wants to DESTROY...well...Every-Thing.The ""Ant-Man-Family"" are All Here for the Fun.The Family have All been Sucked into this Quantum Quagmire because One of Them Tinkered with Things in the Family Den (pass the screw-driver).Perhaps there's More Here than Meets the Eye.But so Much has Met the Eye by the Time the Credits Role that You would be Forgiven that You Missed it.At the Very Least this is Touted as the Beginning of the ""Marvel Comic Universe"": Phase V.If You Know Exactly What That Is and have been Following Phase I II III IV...it'sWorth a Watch.","
            7/10
            "
"ThereelscoopwithKK","21 February 2023","From someone who enjoyed Thor Love and Thunder while others detested it this movie took it to a whole new level of awful for me. I enjoyed the first 2 Ant Man movies. There was something comforting to the humble Paul Rudd playing Ant man. The characters all fit in perfectly with a simple story. Nothing spectacular, but simple , comedic, and worthwhile.This one on the other hand totally sacrificed Ant Man's character to serve as exposition and did a poor job with that. The characters themselves all felt like different people. Hank Pym feels uninspired , Hope goes along for the ride, and Ant Man is the opposite of his old humble persona which I loved before. His character served as some relief in the past for the other bombastic Marvel personalities. The casting of Cassie doesn't quite fit well with me either.This movie felt like a combination of the worst parts of Spy Kids 3D, Star Wars , and Sharkboy and Lava girl. There was a lot of opportunity to do much more with the quantum realm and this just felt like no effort was put into it. The sets themselves look like they were made in an early 2000s movie. At one point someone in the theaters chair broke and instead of laughing at the movie the audience got amusement out of that.For all the build up nothing ever quite adds up in the story. The one saving grace is that Jonathan Majors is a high quality actor. Even with his skill set they still nearly ruined him with a full and uninspiring script. I came into this so excited after how they concluded Loki season 1, but what a let down.They are going to need another stellar Loki season to try to get this phase back on track. I hope they don't spoil Guardians for me as well with their final send off not long from now.","
            1/10
            "
"gavinp9","15 February 2023","'Ant-Man & the Wasp: Quantumania' (or Ant-Man 3) is the thirty-something-th MCU film, but it's always good to see Paul Rudd back as Scott Lang - he brings the right level of charm and goofball-ness, balanced with his determination and morality. Good to see the one director get to do all three films in a trilogy, with a few nods back to the original film (now 8 years ago!).""QuANTuMANia"" follows the combined family - Scott, Hope (Lilly), daughter Cassie (Newton), Hope's Mum Janet (Pfeiffer) & Dad Hank (Douglas) - as they're sucked into the quantum realm and try to get their way back to Earth. I like the concept of the quantum realm - no-one to call for help, existing outside of space & time, lots of exotic things/creatures + it looks cool with all the CGI! They're sucked into a war that they didn't know Janet had been part of and we get to meet Kang The Conqueror (Majors), who looks like being the new Thanos for the next series of MCU films.There's some similarities to the Star Wars sequels, especially with the ""aliens"", otherworldly colours/settings and the final act. But, as with the other two Ant-Man films (this might be better than the 2nd one), Hank Pym (the real Ant-Man) & Hope (the Wasp) are the real unsung heroes. All the actors get something to do, there's a few good cameos, but nothing too substantial and the film doesn't always go where you expect. Some funny moments, but nothing too hilarious or overbearing.Overall: Another solid entry, great visuals and satisfying ending.","
            8/10
            "
"juergenmeyerdrentwede","24 June 2023","How to start? This movie is bad. Really bad. So bad that i am struggling to find words which would not result in a cancellation of this comment. I can not believe that this movie is made by the same studio that made Endgame or Avengers or even She Hulk! It is basically 2+ hours of lifeless CGI porn with a story that is an insult to viewers above the age of six. I would state that the writing is lazy, but that would be an insult to all the lazy writers out there. The moments in the storytelling that actually show some kind of inspiration are less than a minute in combination. The rest is utter and complete waste. You have an ursupator equipped with an army capable of conquering complete worlds? No Problemo, just let an angry teenager hold a 10-second-speech and the mob will rise and overcome. The antagonist is an organism designed only for killing? Just make him the worst possible fighter and let him change his mind by the snap of a finger.Actually, if this is the storytelling of modern Hollywood, i can't wait for AI to write movies. It can not be worse than this.","
            7/10
            "
"Hermione_Mertcan","19 February 2023","7 is well-deserved but wanted to give 8 just because I think 6.6 is not enough.Very good movie. No spoilers, decent sci-fi setup and plot with very good acting from especially Jonathan Majors and Paul Rudd but it falls short due to some reasons.I can't quite put my finger on it but I suspect it is the classic Team X type of superhero movie thing. Ant-Man should have been the hero, even the Wasp was too much of an addition the last time but now, we have 5 main heroes, some with some deus ex machina types of powers. It made predicting the ending of the movie relatively easy.Kang was a great addition though. The movie might suffer from some details but the reason it deserves at least 7 is that the main villain was incredible.A quick problem came to my mind when writing this though. M. O. D. O. K. is an awful design with all his scenes and his character, simply awful.","
            1/10
            "
"george.schmidt","20 March 2023","ANT-MAN AND THE WASP: QUANTUMANIA (2023) **1/2 Paul Rudd, Evangeline Lilly, Michael Douglas, Michelle Pfeiffer, Jonathan Majors, Kathryn Newton, Bill Murray, Katy O'Brian, William Jackson Harper, (Voice of: David Dastmalchian) Marvel's latest franchise endeavor reunites Rudd's Scott Lang with his family only to have them jettisoned back into the Quantum Realm where they encounter a subatomic universe with a deadly threat in the form of the diabolical Kang The Conqueror (Majors proving his mettle to be low-key lethal). While the gob-smacking CGI is chock-a-block with jaw-dropping visuals and state-of-the-art effects the hodgepodge of somewhat goofy set-pieces run more ridiculous (um no I did not need to see Corey Still ala Humpty Dumpy) than sublime (hello giantess Newton; thank you MCU!) (Dir: Peyton Reed)","
            7/10
            "
"shrivastavshubhanshu","22 April 2023","This movie is one of those movies which has all the hype but no substance, just like the quantum realm around us. It seemed that the writers wrote the script while being high. For example -1. Quantum size, really? They are smaller than subatomic particles. Do writers even understand what that means? I highly doubt it. To simplify, they are smaller than the particles found within an atom. So how are they breathing when they are smaller than a single atom of oxygen?2. Kang is the destroyer of multiverses, as explained in the movie. Now again, do writers really understand what the scale of that is? A destroyer of multiverses is defeated in a boxing match by Ant man and wasp at the end. Really? That's absurd and plain dumb. A grave insult to audience's intelligence. Shooting lasers is not exactly a multiverse destroying ability now is it!3. The previous movies showed good chemistry between Ant man and his daughter, who by the way has become SO annoying in this movie - an obnoxious brat would be more accurate a description. And why is she a genius? Can't any kids of superheroes be normal teenagers? She creates quantum device in her garage. I literally wanted to bang my head on the wall.4. The CGI. It is awful. Everywhere I looked there were a multitude of colors. It made me dizzy and sick.5. The first movie showed ant man using a single pym particle to bring himself back from the quantum state. They had a bunch of them in this movie, why couldn't they just do that? Lazy scriptwriting.6. MODOK. No words. It was cringe AH. From a worthy villain in comics and cartoons to this pathetic monstrosity.There are many more reasons but these are the major ones and will suffice for now. The movie seemed like it had quarter-hearted effort (not even half-hearted) by everyone who was involved. It looked like they just wanted to get over this project somehow. The end result was audience being served rubbish.","
            7/10
            "
"kylebrown0209","24 February 2023","Well all I can say is well And I thought that this film was very extraordinary And visually awesome however I am not the biggest Is aut_man fan But I am a massive Marvel fand I can tell you that this is my favorite Ant-Man In the trilogy even though The movie starts out a little bit slow but It gets better once all the characters go the Quantum realm and especially towards the end When You don't know if The villain of the film is dead or not I certainly think that if you Are a fan of This superhero Or Marvel Or big action Adventure films then this one is a good 1 to see I absolutely hope they make a 4 Is film And And can't wait to see what happens next I also Can't wait to watch the new Season of Loki.","
            6/10
            "
"siderite","4 May 2023","I should start this review with the ending of the movie. After saving the world - again - Ant-Man is asking himself hard questions, like did he doom the entire Multiverse or not. He goes ""Nah, it's fine"" reminding himself that the world doesn't make sense and we shouldn't be asking so many questions. It was a clear jab at the people who would predictably criticize the film for its lack of meaning or consistency. It's also an advice for viewers going in, if they want to enjoy the film: leave your brain at the door.That being said, the film was a bunch of familiar faces playing characters that didn't seem to fit their history in a full CGI dream world. That is it. The movie could have just as well been an Alice in Wonderland sequel, where she shrinks and grows using magic mushrooms to kill a multiversal Red Queen. It makes no difference whatsoever.So was the film entertaining? Barely. The visuals were nice, things went pew pew and boom, had a lot of McGuffins and Deus ex Machinas, we even had entire CGI bars (and some actors) borrowed from whatever Marvel are doing in Star Wars. The story was clear, too, as nonsensical as it was. The characterization was bad, though. I mean Evangeline Lilly was barely in it (the haircut did NOT help), MODOK as Darren was pointless, Cassie was annoying as hell - that girl needs a good spanking - not taking responsibility for anything and then telling people what they should do, and Hank... Michael Douglas came, did his lines like a professional, went back home and got drunk questioning his life choices. Even Ant-Man was swinging wildly from courageous dad to hysterical buffoon. Paul Rudd did what he could with it, but it was bad.That leaves Kang. I have to say that I have a feeling every time I see Jonathan Majors on screen. It's a creepy, filthy feeling. It does not feel good. I don't know why and probably I will never know, with the personal issues the actor has nowadays and the publicity around it. But he was a good Kang. Better than in Loki, that's for sure, his acting was spot on. I feel like the script did him a disservice, because he could have easily become one of those legendary villains that makes you root for while hating him at the same time. I didn't see it in Loki, but I did see the potential of a great villain in this film. With the expected two end-credits scenes completely shattering that potential.The classic comic book villain histrionics have got to go. They don't help stories, they don't inspire anyone watching, they don't provide any useful hint for real life just a small emotional catharsis that feels shameful at the end, like a bad wank. It's a made-up fantasy of the bad guy emotionally collapsing under the weight of their defeat while heroes somehow derive strength from theirs. Is it that hard to care for your villain as you do for your hero, writers?""Kang will return"", says the last image of the film. I now doubt that very much.Bottom line: a forgettable and completely pointless film that manages to be somehow entertaining based almost exclusively on CGI and the charisma of the (poorly used) actors. Alas, that's the standard of movie I now expect from Marvel.","
            6/10
            "
"Nikki-D3","21 May 2023","I'm a huge MCU fan. They did superb with previous films so it's hard to set a new tone or pace. The bar is sky high already (high five for getting it there) so, it's really rough to beat now. Robert Downey Jr. Took a ton of perfect with him. Chris Hemsworth, Idris Elba, Thomas Hiddleston, Chris Evans, Chris Pratt, Mark Ruffalo, Scarlett Johansson, Sebastian Stan (who I waited for a break out role since 'The Covenant'). I will encompass my entire review of this movie with the following statement: It wasn't bad per se. (Let's remember that: Per se is a Latin phrase literally meaning ""by itself."". It has the sense of "" intrinsically ,"" or "" in and of itself). So yeah... It wasn't bad Per Se.","
            1/10
            "
"peteraziz-62256","8 March 2023","Here's my review of the third instalment of ant man and the wasp: quantummaniaOverall rating: 6/10.Could it have been better? Yes.Could it have been worse? No.Overall it's a really fun film, happy to see ant man have a third instalment and join that legendary class for marvel.Good adventure film, great action, great comedy and great family film!!Paul Rudd delivers yet again, as his most iconic role as Scott Lang. He finally reaches the level of respect in the MCU. Of course marvel changed the actress and Google it but she only found out on social media she was being recast.. but Cassie was good and the relationship was cool.This film is basically an ant man titled movie about kang tbe conquerer.They didn't do him ultimate and true justice IMO as if they went clear comic book the outcome would be vastly different. But Jonathan majors is Kang aka he who remains aka lol you get it. This will be amazing once the story is complete but they need to make him a true threat..Overall 6/10. Without going into details. Hire me for more!!Pewa4real on the I.g.","
            7/10
            "
